content_id,client_id,baseline_score,suggested_action,reason_codes,impressions_90d,days_since_last_update,avg_position,ctr,engagement_rate,trend_direction
content_d5914cd8c53e,client_f369cb89fc,0,monitor,"high_visibility, low_ctr, low_engagement",736,20,5.2,0.82,0.0,down
content_3bbc4345a69f,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",1517,22,15.5,0.0,2.0,stable
content_a7b1d2a00de5,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",1924,22,14.0,0.1,0.0,stable
content_d9fd8bb80909,client_4e07408562,0,monitor,"high_visibility, low_ctr, low_engagement",1371,104,13.9,0.0,0.0,down
content_f6037d96b81a,client_f369cb89fc,0,monitor,"high_visibility, low_ctr, low_engagement",805,20,9.2,0.75,0.0,down
content_21db40411fd7,client_6208ef0f77,0,monitor,"high_visibility, low_ctr, low_engagement",8143,104,16.4,0.14,0.28,down
content_73c77ab3f545,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",3861,104,5.6,0.1,0.0,down
content_f3b57cc4e81a,client_4ec9599fc2,0,monitor,"low_ctr, low_engagement",175,104,6.0,0.0,0.0,flat
content_ec451307f2c6,client_d4735e3a26,0,monitor,"low_ctr, low_engagement",1,20,0.0,0.0,0.0,new
content_ce89c78c756e,client_3fdba35f04,0,monitor,"high_visibility, low_ctr, low_engagement",3573,104,59.7,0.03,0.0,down
content_ae5db80d77a5,client_6208ef0f77,0,monitor,"high_visibility, low_ctr, low_engagement",73588,104,26.6,0.16,8.48,stable
content_556c5e4eb2de,client_4e07408562,0,monitor,"high_visibility, low_ctr, low_engagement",14475,14,34.7,0.29,5.0,down
content_53ad4abfaa92,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",1633,22,34.3,0.0,0.0,up
content_6c80cf1e44d2,client_2c624232cd,0,monitor,"low_ctr, low_engagement",126,22,57.7,0.0,0.0,down
content_d1a340f82c02,client_4ec9599fc2,0,monitor,"low_ctr, low_engagement",65,20,30.3,0.0,0.0,down
content_628818a4da4d,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",643,104,4.0,0.0,0.0,down
content_ec18f2963a55,client_a88a7902cb,0,monitor,"low_ctr, low_engagement",4,28,5.5,0.0,0.0,flat
content_646483666d1d,client_f74efabef1,0,monitor,"high_visibility, low_ctr, low_engagement",1871,20,10.7,0.05,0.0,new
content_e7c38fcbfed1,client_d4735e3a26,0,monitor,"low_ctr, low_engagement",1,20,0.0,0.0,0.0,new
content_b40c9f8c3e06,client_e629fa6598,0,monitor,"low_ctr, low_engagement",30,22,10.1,0.0,0.0,flat
content_d1c95f78ee41,client_6208ef0f77,0,monitor,"high_visibility, low_ctr, low_engagement",1652,20,5.4,0.12,0.0,stable
content_ed8d3d6827b7,client_a88a7902cb,0,monitor,"high_visibility, low_ctr, low_engagement",653,20,24.3,0.0,0.0,down
content_75add30fc7d7,client_3fdba35f04,0,monitor,"low_ctr, low_engagement",106,41,13.7,0.0,0.0,up
content_b25bf13c47ce,client_19581e27de,0,monitor,"low_ctr, low_engagement",265,22,8.5,0.38,0.0,down
content_1243ed56b082,client_e629fa6598,0,monitor,"low_ctr, low_engagement",33,20,5.3,0.0,0.0,down
